Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Golden State Warriors,W,P,67,15,.817,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41
2,San Antonio Spurs,W,SW,61,21,.744,7.20,111.81,104.25,7.56,7.13,111.62,104.12,7.49
3,Houston Rockets,W,SW,55,27,.671,5.77,115.59,109.96,5.63,5.84,115.70,109.98,5.72
4,Los Angeles Clippers,W,P,51,31,.622,4.29,113.38,108.88,4.50,4.42,113.46,108.82,4.64
5,Utah Jazz,W,NW,51,31,.622,3.94,110.46,106.19,4.27,4.00,110.31,105.98,4.33
6,Toronto Raptors,E,A,51,31,.622,4.21,113.20,108.68,4.51,3.65,113.07,109.14,3.93
7,Cleveland Cavaliers,E,C,51,31,.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95
8,Boston Celtics,E,A,53,29,.646,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33
9,Washington Wizards,E,SE,49,33,.598,1.80,111.98,110.06,1.92,1.36,111.96,110.49,1.46
10,Oklahoma City Thunder,W,NW,47,35,.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18
11,Memphis Grizzlies,W,SW,43,39,.524,0.49,108.59,107.89,0.70,0.96,108.71,107.55,1.17
12,Miami Heat,E,SE,41,41,.500,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79
13,Denver Nuggets,W,NW,40,42,.488,0.51,113.90,113.43,0.47,0.70,114.06,113.39,0.67
14,Charlotte Hornets,E,SE,36,46,.439,0.20,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02
15,Chicago Bulls,E,C,41,41,.500,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08
16,Portland Trail Blazers,W,NW,41,41,.500,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22
17,Milwaukee Bucks,E,C,42,40,.512,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.50
18,Indiana Pacers,E,C,42,40,.512,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.60
19,Minnesota Timberwolves,W,NW,31,51,.378,-1.11,111.54,112.74,-1.20,-0.63,111.75,112.46,-0.71
20,Atlanta Hawks,E,SE,43,39,.524,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37
21,Detroit Pistons,E,C,37,45,.451,-1.12,106.53,107.90,-1.37,-1.29,106.39,107.93,-1.54
22,New Orleans Pelicans,W,SW,34,48,.415,-2.10,105.81,108.01,-2.20,-1.69,105.79,107.57,-1.78
23,Dallas Mavericks,W,SW,33,49,.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65
24,Sacramento Kings,W,P,32,50,.390,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59
25,New York Knicks,E,A,31,51,.378,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.60,-3.98
26,Phoenix Suns,W,P,24,58,.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98
27,Philadelphia 76ers,E,A,28,54,.341,-5.70,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99
28,Los Angeles Lakers,W,P,26,56,.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42
29,Brooklyn Nets,E,A,20,62,.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74
30,Orlando Magic,E,SE,29,53,.354,-6.57,104.23,111.11,-6.88,-6.61,104.30,111.21,-6.92
