Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 30 2012,7:00 pm,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,20562,
Tue Oct 30 2012,7:30 pm,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,18997,
Tue Oct 30 2012,8:00 pm,Boston Celtics,107,Miami Heat,120,Box Score,,20296,
Wed Oct 31 2012,7:00 pm,Sacramento Kings,87,Chicago Bulls,93,Box Score,,21313,
Wed Oct 31 2012,7:30 pm,Houston Rockets,105,Detroit Pistons,96,Box Score,,16646,
Wed Oct 31 2012,7:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,19060,
Wed Oct 31 2012,7:00 pm,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,15358,
Wed Oct 31 2012,7:00 pm,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,19101,
Wed Oct 31 2012,7:00 pm,Golden State Warriors,87,Phoenix Suns,85,Box Score,,15678,
Wed Oct 31 2012,7:30 pm,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,20401,
Wed Oct 31 2012,7:00 pm,Indiana Pacers,90,Toronto Raptors,88,Box Score,,19800,
Wed Oct 31 2012,7:00 pm,Dallas Mavericks,94,Utah Jazz,113,Box Score,,17634,
Thu Nov 1 2012,8:30 pm,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,18581,
Fri Nov 2 2012,7:30 pm,Houston Rockets,109,Atlanta Hawks,102,Box Score,,18238,
Fri Nov 2 2012,7:30 pm,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,18624,
Fri Nov 2 2012,7:00 pm,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,19124,
Fri Nov 2 2012,7:30 pm,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,20562,
Fri Nov 2 2012,7:30 pm,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,19596,
Fri Nov 2 2012,7:30 pm,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,18997,
Fri Nov 2 2012,7:00 pm,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,19356,
Fri Nov 2 2012,7:00 pm,Utah Jazz,86,New Orleans Hornets,88,Box Score,,14147,
Fri Nov 2 2012,8:00 pm,Miami Heat,84,New York Knicks,104,Box Score,,19033,
Fri Nov 2 2012,7:00 pm,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,18203,
Fri Nov 2 2012,7:00 pm,Denver Nuggets,89,Orlando Magic,102,Box Score,,18846,
Fri Nov 2 2012,7:00 pm,Detroit Pistons,89,Phoenix Suns,92,Box Score,,15107,
Sat Nov 3 2012,7:30 pm,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,17732,
Sat Nov 3 2012,7:00 pm,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,21758,
Sat Nov 3 2012,7:30 pm,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,19490,
Sat Nov 3 2012,7:00 pm,Portland Trail Blazers,95,Houston Rockets,85,Box Score,OT,18140,
Sat Nov 3 2012,7:00 pm,Sacramento Kings,98,Indiana Pacers,106,Box Score,2OT,18165,
Sat Nov 3 2012,7:30 pm,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,19060,
